Latitude,Longitude,Unique_Squirrel_ID,Shift,Date,Age,Primary_Fur_Color,Location,Specific_Location,Running,Chasing,Climbing,Eating,Foraging,Other_Activities,Kuks,Quaas,Moans,Tail_flags,Tail_twitches,Approaches,Indifferent,Runs_from
-73,40,8H-AM-1017-06,AM,10172018,Adult,Gray,Above Ground,nan,False,True,False,True,False,nan,False,False,False,False,False,False,True,False
-73,40,34F-AM-1007-01,AM,10072018,Adult,Gray,Above Ground,nan,True,False,True,False,False,nan,False,False,False,False,False,False,False,True
-73,40,13H-PM-1010-02,PM,10102018,Adult,Gray,Above Ground,tree,False,False,False,False,True,nan,False,False,False,False,False,False,True,False
-73,40,22F-PM-1014-06,PM,10142018,Adult,Gray,Ground Plane,nan,True,False,False,False,False,nan,False,False,False,False,True,False,True,False
-73,40,32E-AM-1007-13,AM,10072018,Adult,Gray,Above Ground,nan,False,False,True,False,False,nan,False,False,False,False,False,False,False,False
-73,40,35C-AM-1007-05,AM,10072018,Adult,Gray,Above Ground,nan,False,False,True,False,False,nan,False,False,False,False,False,False,False,False
-73,40,17E-AM-1017-05,AM,10172018,Adult,Black,Above Ground,Branch,False,False,False,False,True,nan,False,False,False,False,False,False,True,False
-73,40,2B-PM-1013-01,PM,10132018,Adult,Gray,Ground Plane,nan,True,False,False,False,False,running (with nut),False,False,False,False,False,False,False,False
-73,40,19D-AM-1007-01,AM,10072018,Juvenile,Gray,Ground Plane,nan,False,False,True,True,False,nan,False,False,False,False,False,False,False,False
-73,40,40B-AM-1019-03,AM,10192018,Juvenile,Gray,Ground Plane,nan,True,True,False,False,False,nan,False,False,False,False,True,True,False,False
-73,40,3E-PM-1008-07,PM,10082018,Adult,Gray,Ground Plane,nan,False,False,False,True,True,nan,False,False,False,False,False,False,True,False
-73,40,39C-PM-1006-01,PM,10062018,Adult,Gray,Ground Plane,nan,True,False,False,False,True,nan,False,False,False,False,False,False,True,False
-73,40,6G-AM-1008-02,AM,10082018,Juvenile,Gray,Ground Plane,bush,False,False,False,False,True,nan,False,False,False,False,False,False,True,False
-73,40,14F-AM-1007-05,AM,10072018,Juvenile,Gray,Ground Plane,nan,False,False,False,True,False,nan,False,False,False,False,False,False,True,False
-73,40,6I-PM-1013-06,PM,10132018,Adult,Gray,Ground Plane,nan,False,False,False,False,False,playing with #5,False,False,False,False,True,False,False,False
-73,40,15F-PM-1010-05,PM,10102018,Adult,Gray,Ground Plane,nan,False,False,False,False,True,nan,False,False,False,False,False,False,True,False
-73,40,8B-PM-1012-02,PM,10122018,Adult,Gray,Ground Plane,hiding in bushes,False,False,False,False,True,nan,False,False,False,False,False,False,False,True
-73,40,3A-PM-1017-06,PM,10172018,Adult,Gray,Ground Plane,nan,False,False,False,False,True,nan,False,False,False,False,False,False,False,True
-73,40,36I-AM-1017-02,AM,10172018,Adult,Gray,Ground Plane,nan,False,False,False,False,True,nan,False,False,False,False,False,False,True,False
-73,40,5E-AM-1008-06,AM,10082018,Adult,Cinnamon,Ground Plane,nan,True,False,False,False,False,nan,False,False,False,False,False,True,False,False
-73,40,32E-PM-1017-13,PM,10172018,Adult,Gray,nan,nan,False,False,False,True,True,nan,False,False,False,False,False,False,True,False
-73,40,5F-PM-1007-03,PM,10072018,Adult,Gray,Ground Plane,nan,False,False,False,False,False,hiding nut,False,False,False,False,True,False,True,False
-73,40,11B-PM-1014-05,PM,10142018,Adult,Gray,Ground Plane,nan,False,False,False,False,True,nan,False,False,False,False,False,False,True,False
-73,40,16E-PM-1018-06,PM,10182018,Adult,Cinnamon,Ground Plane,On a rock,False,False,False,False,True,nan,False,False,False,False,True,False,True,False
-73,40,13F-AM-1007-02,AM,10072018,Adult,Cinnamon,nan,nan,False,False,False,True,True,nan,False,False,False,False,False,False,True,False
-73,40,20B-PM-1013-10,PM,10132018,Adult,Gray,Ground Plane,nan,False,False,False,False,True,drank from a pond of rain water,False,False,False,False,False,False,True,False
-73,40,3A-PM-1017-05,PM,10172018,Adult,Gray,Ground Plane,nan,False,False,False,False,True,nan,False,False,False,False,False,False,False,False
-73,40,29H-PM-1006-01,PM,10062018,Adult,Gray,Above Ground,nan,False,False,True,False,False,sitting,False,False,False,False,False,False,True,False
-73,40,23C-PM-1014-03,PM,10142018,Adult,Gray,Above Ground,nan,False,True,False,False,False,chasing (#4 across trees),False,False,False,False,False,False,False,False
-73,40,33C-PM-1007-03,PM,10072018,Adult,Gray,Ground Plane,nan,False,False,False,False,True,nan,False,False,False,False,True,False,True,False
-73,40,38G-PM-1020-09,PM,10202018,Adult,Gray,Ground Plane,nan,False,False,False,True,True,nan,False,False,False,True,False,False,True,False
-73,40,16G-PM-1017-01,PM,10172018,Adult,Gray,Ground Plane,nan,False,False,False,False,True,nan,False,False,False,False,False,False,True,False
-73,40,36I-PM-1007-07,PM,10072018,Adult,Gray,Ground Plane,nan,False,False,False,False,True,nan,False,False,False,False,False,False,True,False
-73,40,35A-AM-1014-03,AM,10142018,Adult,Gray,Ground Plane,nan,False,False,False,False,True,nan,False,False,False,False,False,False,True,False
-73,40,28C-PM-1006-01,PM,10062018,Adult,Gray,Ground Plane,nan,False,False,False,False,False,gathering acorns,False,False,False,True,False,False,False,True
-73,40,32D-AM-1013-06,AM,10132018,Adult,Cinnamon,Ground Plane,nan,True,False,False,True,True,"eating (a mushroom),circles around us,really fat,scratching himself,grooming activity",False,False,False,False,True,True,False,False
-73,40,22A-AM-1008-05,AM,10082018,Adult,Gray,Above Ground,trash can,False,False,False,True,False,nan,False,False,False,True,False,False,False,True
-73,40,40B-PM-1014-06,PM,10142018,Adult,Gray,Ground Plane,nan,True,False,False,False,False,nan,False,False,False,False,False,False,True,False
-73,40,19C-PM-1018-01,PM,10182018,Adult,Gray,Ground Plane,nan,True,True,False,True,False,nan,False,False,False,False,True,False,True,False
-73,40,35A-PM-1013-06,PM,10132018,Adult,Cinnamon,Ground Plane,nan,True,False,False,False,False,nan,False,False,False,False,False,False,False,True
-73,40,14E-AM-1008-09,AM,10082018,Adult,Gray,Ground Plane,nan,True,True,False,False,False,nan,True,False,False,False,False,False,False,True
-73,40,15G-PM-1019-05,PM,10192018,Adult,Gray,Above Ground,nan,False,False,True,False,False,nan,False,False,False,False,False,False,False,False
-73,40,10F-AM-1007-02,AM,10072018,Adult,Gray,Above Ground,nan,False,False,True,False,False,nan,False,False,False,False,False,False,False,False
-73,40,42E-PM-1012-06,PM,10122018,Adult,Cinnamon,Ground Plane,nan,True,False,False,False,True,nan,False,False,False,False,False,False,False,True
-73,40,22B-AM-1013-04,AM,10132018,Adult,Cinnamon,Ground Plane,Under bench,False,False,False,False,True,nan,False,False,False,False,False,False,False,True
-73,40,15F-PM-1010-06,PM,10102018,Adult,Gray,Ground Plane,nan,False,False,False,False,True,nan,False,False,False,False,False,False,True,False
